ID,location,date,time,total,new 
12,Jeju,2020-03-13,0:00,4,0
13,Jeon-buk,2020-03-13,0:00,7,0
14,Jeon-nam,2020-03-13,0:00,4,0
15,Sejong,2020-03-13,0:00,32,17
16,Seoul,2020-03-13,0:00,225,13
17,Ulsan,2020-03-13,0:00,27,2
1,Busan,2020-03-14,0:00,103,3
2,Chung-buk,2020-03-14,0:00,28,1
3,Chung-nam,2020-03-14,0:00,115,0
4,Daegu,2020-03-14,0:00,5990,62
5,Daejeon,2020-03-14,0:00,22,0
6,Gangwon,2020-03-14,0:00,29,0
7,Gwangju,2020-03-14,0:00,15,0
8,Gyeonggi,2020-03-14,0:00,200,15
9,Gyeong-buk,2020-03-14,0:00,1153,6
10,Gyeong-nam,2020-03-14,0:00,85,0
11,Incheon,2020-03-14,0:00,28,1
12,Jeju,2020-03-14,0:00,4,0
13,Jeon-buk,2020-03-14,0:00,7,0
14,Jeon-nam,2020-03-14,0:00,4,0
15,Sejong,2020-03-14,0:00,38,6
16,Seoul,2020-03-14,0:00,238,13
17,Ulsan,2020-03-14,0:00,27,0
1,Busan,2020-03-15,0:00,106,3
2,Chung-buk,2020-03-15,0:00,31,3
3,Chung-nam,2020-03-15,0:00,115,0
4,Daegu,2020-03-15,0:00,6031,41
5,Daejeon,2020-03-15,0:00,22,0
6,Gangwon,2020-03-15,0:00,29,0
7,Gwangju,2020-03-15,0:00,16,1
8,Gyeonggi,2020-03-15,0:00,211,11
9,Gyeong-buk,2020-03-15,0:00,1157,4
10,Gyeong-nam,2020-03-15,0:00,85,0
11,Incheon,2020-03-15,0:00,30,2
12,Jeju,2020-03-15,0:00,4,0
13,Jeon-buk,2020-03-15,0:00,7,0
14,Jeon-nam,2020-03-15,0:00,4,0
15,Sejong,2020-03-15,0:00,39,1
16,Seoul,2020-03-15,0:00,247,9
17,Ulsan,2020-03-15,0:00,28,1
0,Airport,2020-03-16,0:00,4,4
1,Busan,2020-03-16,0:00,107,1
2,Chung-buk,2020-03-16,0:00,31,0
3,Chung-nam,2020-03-16,0:00,115,0
4,Daegu,2020-03-16,0:00,6066,35
5,Daejeon,2020-03-16,0:00,22,0
6,Gangwon,2020-03-16,0:00,29,0
7,Gwangju,2020-03-16,0:00,16,0
8,Gyeonggi,2020-03-16,0:00,231,20
9,Gyeong-buk,2020-03-16,0:00,1164,7
10,Gyeong-nam,2020-03-16,0:00,85,0
11,Incheon,2020-03-16,0:00,30,0
12,Jeju,2020-03-16,0:00,4,0
13,Jeon-buk,2020-03-16,0:00,7,0
14,Jeon-nam,2020-03-16,0:00,4,0
15,Sejong,2020-03-16,0:00,40,1
16,Seoul,2020-03-16,0:00,253,6
17,Ulsan,2020-03-16,0:00,28,0
0,Airport,2020-03-17,0:00,6,2
1,Busan,2020-03-17,0:00,107,0
2,Chung-buk,2020-03-17,0:00,31,0
3,Chung-nam,2020-03-17,0:00,115,0
4,Daegu,2020-03-17,0:00,6098,32
5,Daejeon,2020-03-17,0:00,22,0
6,Gangwon,2020-03-17,0:00,29,0
7,Gwangju,2020-03-17,0:00,16,0
8,Gyeonggi,2020-03-17,0:00,262,31
9,Gyeong-buk,2020-03-17,0:00,1169,5
10,Gyeong-nam,2020-03-17,0:00,86,1
11,Incheon,2020-03-17,0:00,31,1
12,Jeju,2020-03-17,0:00,4,0
13,Jeon-buk,2020-03-17,0:00,7,0
14,Jeon-nam,2020-03-17,0:00,4,0
15,Sejong,2020-03-17,0:00,40,0
16,Seoul,2020-03-17,0:00,265,12
17,Ulsan,2020-03-17,0:00,28,0
0,Airport,2020-03-18,0:00,11,5
1,Busan,2020-03-18,0:00,107,0
2,Chung-buk,2020-03-18,0:00,32,1
3,Chung-nam,2020-03-18,0:00,118,3
4,Daegu,2020-03-18,0:00,6144,46
5,Daejeon,2020-03-18,0:00,22,0
6,Gangwon,2020-03-18,0:00,30,1
7,Gwangju,2020-03-18,0:00,17,1
8,Gyeonggi,2020-03-18,0:00,277,15
9,Gyeong-buk,2020-03-18,0:00,1178,9
10,Gyeong-nam,2020-03-18,0:00,86,0
11,Incheon,2020-03-18,0:00,32,1
12,Jeju,2020-03-18,0:00,4,0
13,Jeon-buk,2020-03-18,0:00,9,2
14,Jeon-nam,2020-03-18,0:00,5,1
15,Sejong,2020-03-18,0:00,41,1
16,Seoul,2020-03-18,0:00,270,5
17,Ulsan,2020-03-18,0:00,30,2
0,Airport,2020-03-19,0:00,16,5
1,Busan,2020-03-19,0:00,107,0
2,Chung-buk,2020-03-19,0:00,33,1
3,Chung-nam,2020-03-19,0:00,118,0
4,Daegu,2020-03-19,0:00,6241,97
5,Daejeon,2020-03-19,0:00,22,0
6,Gangwon,2020-03-19,0:00,30,0
7,Gwangju,2020-03-19,0:00,17,0
8,Gyeonggi,2020-03-19,0:00,295,18
9,Gyeong-buk,2020-03-19,0:00,1190,12
10,Gyeong-nam,2020-03-19,0:00,86,0
11,Incheon,2020-03-19,0:00,32,0
12,Jeju,2020-03-19,0:00,4,0
13,Jeon-buk,2020-03-19,0:00,10,1
14,Jeon-nam,2020-03-19,0:00,5,0
15,Sejong,2020-03-19,0:00,41,0
16,Seoul,2020-03-19,0:00,282,12
17,Ulsan,2020-03-19,0:00,36,6
0,Airport,2020-03-20,0:00,17,1
1,Busan,2020-03-20,0:00,108,1
2,Chung-buk,2020-03-20,0:00,33,0
3,Chung-nam,2020-03-20,0:00,119,1
4,Daegu,2020-03-20,0:00,6275,34
5,Daejeon,2020-03-20,0:00,22,0
6,Gangwon,2020-03-20,0:00,30,0
7,Gwangju,2020-03-20,0:00,18,1
8,Gyeonggi,2020-03-20,0:00,309,14
9,Gyeong-buk,2020-03-20,0:00,1203,13
10,Gyeong-nam,2020-03-20,0:00,87,1
11,Incheon,2020-03-20,0:00,36,4
12,Jeju,2020-03-20,0:00,4,0
13,Jeon-buk,2020-03-20,0:00,10,0
14,Jeon-nam,2020-03-20,0:00,5,0
15,Sejong,2020-03-20,0:00,41,0
16,Seoul,2020-03-20,0:00,299,17
